Month.Year,County,Female,Male,Non-binary,Prefer not to answer,Prefer to self-describe,Unknown
2024-12-01,Addison,333,*,0,*,0,0
2024-12-01,Bennington,*,411,0,*,0,0
2024-12-01,Caledonia,415,350,0,*,0,*
2024-12-01,Chittenden,1171,1179,*,16,*,0
2024-12-01,Essex,56,52,0,0,0,0
2024-12-01,Franklin,422,404,0,0,0,0
2024-12-01,Grand Isle,50,52,0,0,0,0
2024-12-01,Lamoille,226,251,*,*,0,0
2024-12-01,Orange,195,*,0,*,0,0
2024-12-01,Orleans,219,273,0,0,0,0
2024-12-01,Rutland,571,*,0,*,0,0
2024-12-01,Washington,267,335,0,*,*,0
2024-12-01,Windham,319,353,0,*,*,0
2024-12-01,Windsor,398,380,0,0,0,0
2024-11-01,Addison,*,340,0,*,0,0
2024-11-01,Bennington,*,406,0,*,0,0
2024-11-01,Caledonia,419,349,0,*,0,*
2024-11-01,Chittenden,1159,1154,*,13,*,0
2024-11-01,Essex,57,53,0,0,0,0
2024-11-01,Franklin,414,395,0,0,0,0
2024-11-01,Grand Isle,44,50,0,0,0,0
2024-11-01,Lamoille,231,253,*,*,0,0
2024-11-01,Orange,*,193,0,*,0,0
2024-11-01,Orleans,220,271,0,0,0,0
2024-11-01,Rutland,580,*,0,*,0,0
2024-11-01,Washington,266,331,0,*,*,0
2024-11-01,Windham,320,347,0,*,*,0
2024-11-01,Windsor,407,*,*,0,0,0
2024-10-01,Addison,*,356,0,*,0,0
2024-10-01,Bennington,386,*,0,*,0,0
2024-10-01,Caledonia,*,433,0,*,0,0
2024-10-01,Chittenden,1136,1106,*,*,*,*
2024-10-01,Essex,71,71,0,0,0,0
2024-10-01,Franklin,*,432,0,*,0,0
2024-10-01,Grand Isle,43,41,0,0,0,0
2024-10-01,Lamoille,278,291,0,*,*,0
2024-10-01,Orange,*,181,0,*,0,0
2024-10-01,Orleans,216,*,0,*,0,0
2024-10-01,Rutland,516,543,*,*,0,0
2024-10-01,Washington,*,248,0,*,0,0
2024-10-01,Windham,276,313,0,0,0,0
2024-10-01,Windsor,356,356,0,*,*,0
