Month.Year,County,American Indian or Alaskan Native,Asian,Black or African American,Native Hawaiian or Pacific Islander,Prefer not to answer,Prefer to self-describe,White,Two or More Races,Unreported
2024-09-01,Addison,0,*,0,0,0,*,122,0,471
2024-09-01,Bennington,*,*,16,0,*,*,610,30,56
2024-09-01,Caledonia,0,*,*,0,0,0,290,16,448
2024-09-01,Chittenden,*,48,242,0,*,23,1012,108,413
2024-09-01,Essex,0,0,*,0,0,*,44,0,57
2024-09-01,Franklin,*,0,13,*,*,*,560,16,96
2024-09-01,Grand Isle,*,0,*,0,0,*,65,*,*
2024-09-01,Lamoille,*,0,*,*,*,*,363,23,32
2024-09-01,Orange,0,*,*,0,*,*,270,*,47
2024-09-01,Orleans,0,0,*,0,*,0,367,*,91
2024-09-01,Rutland,*,*,36,0,*,*,834,24,108
2024-09-01,Washington,0,*,*,0,10,*,418,17,33
2024-09-01,Windham,*,*,17,0,12,10,466,33,96
2024-09-01,Windsor,*,*,14,*,*,10,620,25,82
2024-08-01,Addison,0,0,0,0,0,*,*,0,550
2024-08-01,Bennington,*,*,16,0,*,*,643,35,60
2024-08-01,Caledonia,0,*,*,0,0,*,285,17,453
2024-08-01,Chittenden,*,56,243,0,21,*,1091,105,531
2024-08-01,Essex,0,0,*,0,0,*,44,0,54
2024-08-01,Franklin,*,0,12,*,*,*,568,18,89
2024-08-01,Grand Isle,*,0,*,0,0,*,69,*,*
2024-08-01,Lamoille,*,0,10,*,*,*,381,29,27
2024-08-01,Orange,0,*,*,0,*,*,259,*,49
2024-08-01,Orleans,0,0,*,0,*,0,360,*,101
2024-08-01,Rutland,*,*,39,0,13,*,933,29,101
2024-08-01,Washington,0,*,12,0,11,*,458,18,38
2024-08-01,Windham,*,*,16,0,12,12,488,36,90
2024-08-01,Windsor,*,*,12,*,*,11,646,29,83
2024-07-01,Addison,0,0,0,0,0,*,*,0,487
2024-07-01,Bennington,*,*,16,0,*,*,623,36,60
2024-07-01,Caledonia,0,*,*,0,0,*,272,17,431
2024-07-01,Chittenden,*,44,218,0,20,*,995,92,514
2024-07-01,Essex,0,0,*,0,0,*,43,0,52
2024-07-01,Franklin,*,0,11,*,*,*,562,20,85
2024-07-01,Grand Isle,*,*,*,0,0,*,53,*,*
2024-07-01,Lamoille,*,0,*,*,*,*,328,26,25
2024-07-01,Orange,0,*,*,0,*,*,239,*,44
2024-07-01,Orleans,0,0,*,0,*,0,324,*,114
2024-07-01,Rutland,*,*,40,0,13,*,899,30,95
2024-07-01,Washington,0,*,12,0,*,*,419,17,38
2024-07-01,Windham,*,*,13,0,*,15,432,28,77
2024-07-01,Windsor,*,*,10,*,*,11,604,30,80
